subject-English	題目-Chinese	Answer-English	答案-Chinese	構面
The organisation has a clear strategy for employee engagement with digital.	公司內部針對提升員工的數位化程度有清楚的策略。	Yes/True、No/False	是、否	員工參與數位化
Employees are provided with regular updates regarding the benefits for using digital, via wide range of interactive channels.	公司員工可以定期透過多種互動管道了解數位化應用的對企業的幫助。	Yes/True、No/False	是、否	員工參與數位化
Employees are using digital technology to work cross-functionally.	員工採用數位化技術來進行跨部門的合作。 	Yes/True、No/False	是、否	員工參與數位化
Growth via digital platforms has grown consistently in the past 5 years.	透過數位化平台的業務在過去5年中營收持續增長。 	Yes/True、No/False	是、否	員工參與數位化
The organisation has appointed a Chief Digital Officer (CDO).	公司已經任命了一名數位長（CDO）。 	Yes/True、No/False	是、否	數位化領導力
Digital is recognised as a strategic discipline by the senior leadership team.	數位化被高層領導團隊明確歸類為重要的策略。	Yes/True、No/False	是、否	數位化領導力
The Chief Marketing Officer and Chief Information Officer are working collaboratively to deliver the digital strategy.	行銷長及資訊長合作推展數位化策略。 	Yes/True、No/False	是、否	數位化領導力
No C-level executives are responsible for digital.	公司無高階管理執行人員(如:CEO、COO等)負責數位化。 	Yes/True、No/False	是、否	數位化領導力
There is one key C-level executive responsible for the coordination, development and delivery of organisations digital strategy.	公司有一個關鍵的高階管理人員負責協調、開發和執行數位化策略。 	Yes/True、No/False	是、否	數位化領導力
The CDO reports to the CEO and works across all levels of senior and board management.	數位長(CDO)須向執行長(CEO)呈報，並與各級高層和董事會通力合作。	Yes/True、No/False	是、否	數位化領導力
There is an established Centre of Excellence considered responsible for digital capability planning, development and delivery.	企業已設置負責數位化資源規劃、開發和執行的特別單位。 	Yes/True、No/False	是、否	架構及職責
Digital investment decisions are taken on an ad-hoc basis by functional leads who are considered responsible for achieving the digital agenda.	數位化投資特別由負責數位化議程的部門主管進行決策。	Yes/True、No/False	是、否	架構及職責
Functional leaders are assessed on the frequency of adoption of digital technologies within their area.	各部門主管會評估組織內部運用數位化技術的程度。 	Yes/True、No/False	是、否	架構及職責
All employees are encouraged to continuously consider opportunities for product and service innovation via digital.	企業鼓勵員工使用數位化來進行產品和服務機會的開發與創新。 	Yes/True、No/False	是、否	員工參與數位化
Senior management are accountable for increased digital adoption, monitored using clear performance targets.	高階主管加強採行數位化，並使用明確的績效目標進行管控。 	Yes/True、No/False	是、否	架構及職責
