subject-English	題目-Chinese	Answer-English	答案-Chinese	構面
Digital channels and customer touchpoints have a specific and appropriate governance framework.	公司對於數位通路與客戶接觸管道有具體且適當的管理架構。	Yes/True、No/False	是、否	治理架構
Policies always consider any relevant digital issues.	公司政策將數位化議題納入考慮。	Yes/True、No/False	是、否	治理架構
Specific policies exist to address new digital issues e.g. the use of social media, bring your own device.	公司具備解決新數位議題的規範 例：如何使用社群媒體。	Yes/True、No/False	是、否	治理架構
Implementation of organisational governance framework does not uilise digital communications methods.	公司並未使用數位溝通方法來管理組織架構。	Yes/True、No/False	是、否	治理架構
There is no overarching digital steering group or equivalent.	公司內部缺乏數位策劃小組或同等組織。	Yes/True、No/False	是、否	治理架構
Ownership of digital opportunities and risks within the Board is clear.	公司董事會清楚掌握數位化的機會與風險。	Yes/True、No/False	是、否	治理架構
The Board is regularly and well briefed on digital issues affecting the organisation's market.	董事會有定期了解影響其企業所在市場的數位議題。	Yes/True、No/False	是、否	治理架構
Where appropriate, individuals have KPIs designed to drive the exploitation of digital opportunities or mitigation of digital risks.	公司必須針對數位機會的推動、風險的降低，設計員工的關鍵績效指標(KPI)。	Yes/True、No/False	是、否	衡量及揭露
Investment decisions do not support the long term development of digital capabilities within the organisation.	公司投資決策不支持組織內數位化能力的長遠發展。	Yes/True、No/False	是、否	治理架構
There is no comprehensive set of digital KPIs.	公司缺乏一套完整的數位關鍵績效指標(KPI)。	Yes/True、No/False	是、否	衡量及揭露
Measurement of digital channel data is timely.	公司能即時衡量數位通路數據。	Yes/True、No/False	是、否	衡量及揭露
Reporting of digital KPIs is substantially automated.	公司能自動產出數位關鍵績效指標 (KPI)報告。	Yes/True、No/False	是、否	衡量及揭露
The organisation makes use of self-learning systems.	組織內部使用一套自主學習系統。	Yes/True、No/False	是、否	治理架構
Data-driven scenario planning is used by the organisation.	組織利用資料導向的業務情境進行規劃。	Yes/True、No/False	是、否	衡量及揭露
Key metrics and performance indicators are reported in real time.	關鍵指標和績效指標能即時揭露。	Yes/True、No/False	是、否	衡量及揭露
Digital dashboarding is used.	公司使用數位化儀表板。	Yes/True、No/False	是、否	衡量及揭露
KPI definitions are not clear.	公司對關鍵績效指標（KPI）的定義不明確。	Yes/True、No/False	是、否	衡量及揭露
There is regular debate over the accuracy of data in reports.	公司針對報告數據的準確性經常有爭論。	Yes/True、No/False	是、否	衡量及揭露
Change management is a recognised discipline within the organisation, with identifiable digital specialists.	變革管理被認定為公司內部的教條並有數位專家參與其中。	Yes/True、No/False	是、否	數位化變革管理
There is a dedicated digital change portfolio with its own budget.	數位變革業務有其專屬預算。	Yes/True、No/False	是、否	數位化變革管理
The realisation of expected benefits from digital change is not tracked post-implementation.	數位變革預期利益在實施後不會進行追蹤。	Yes/True、No/False	是、否	數位化變革管理
