subject-English	題目-Chinese	Answer-English	答案-Chinese	構面
The organisation operates an omnichannel pricing policy.	公司採全通路的定價政策。	Yes/True、No/False	是、否	全通路管理
Marketing is synchronised across channel pricing, channel promotions and consistent messaging.	行銷透過通路定價、通路促銷和一致性訊息發送來同步進行。	Yes/True、No/False	是、否	全通路管理
Independent customer experiences are created for each channel.	每個通路都能為提供獨特的客戶體驗。	Yes/True、No/False	是、否	全通路管理
There is a structure to measure cross channel effectiveness.	公司具有衡量跨通路行銷成效的架構。	Yes/True、No/False	是、否	全通路管理
There are seamless customer journeys across channels and along the entire customer lifecycle.	公司可提供跨通路、貫串客戶生命周期的客戶體驗歷程。	Yes/True、No/False	是、否	全通路管理
Customers can migrate between channels depending on their preference.	客戶可隨其所好在各通路間移動遷徙。	Yes/True、No/False	是、否	全通路管理
Mobile channels are used to promote products and services to customers.	行動通路將做為推廣產品與服務之媒介。	Yes/True、No/False	是、否	與客戶使用行動裝置
Customers use mobile channels to purchase/apply for products and services.	客戶可使用行動通路申購產品與服務。	Yes/True、No/False	是、否	與客戶使用行動裝置
Customers can use mobile channels to communicate with an agent via secure messaging/video.	客戶能以行動裝置為管道，透過加密的訊息與影像溝通互動。	Yes/True、No/False	是、否	與客戶使用行動裝置
Mobile channels are used to provide customer service to customers.	行動通路可作為提供客戶服務之用。	Yes/True、No/False	是、否	與客戶使用行動裝置
Mobile channels are used to push relevant information to customers.	行動通路可向客戶推播相關訊息。	Yes/True、No/False	是、否	與客戶使用行動裝置
Mobile channels allow customers to access relevant information e.g. QR codes to get deals.	行動通路可讓客戶取得相關訊息，例：使用QR codes 完成交易。	Yes/True、No/False	是、否	與客戶使用行動裝置
Mobile channels can be used to make payments.	行動通路可用來支付費用。	Yes/True、No/False	是、否	與客戶使用行動裝置
Mobile channels can be used to present bespoke marketing deals to customers using location based marketing.	行動通路能運用在地行銷的方式制定行銷方案。	Yes/True、No/False	是、否	與客戶使用行動裝置
"Mobile channels are used to drive ""alerts"" to customers warning of specific milestones/events."	行動通路能對客戶發佈特定里程碑/事件的相關提示。	Yes/True、No/False	是、否	與客戶使用行動裝置
Customers can purchase and pay for products and services by scanning QR code using mobile channels.	客戶能使用行動裝置掃描QR codes以購買產品與服務。	Yes/True、No/False	是、否	與客戶使用行動裝置
Customers can use mobile channels to scan/photograph documentation to fulfil a process with the business e.g. Scan a cheque to deposit.	客戶能使用行動裝置掃描/拍攝業務相關文件 例：掃描一張支票存進帳戶。	Yes/True、No/False	是、否	與客戶使用行動裝置
The customer can see what products they have purchased or accounts they hold on one screen.	客戶能在整合頁面看見其購買產品與持有帳戶。	Yes/True、No/False	是、否	單一客戶觀點
The customer can access their single customer view of products or purchases using one set of security credentials.	客戶能使用安全憑證進入他們的個人化產品與購物介面。	Yes/True、No/False	是、否	單一客戶觀點
The customer needs to log into multiple systems to see their product and purchase holdings individually.	客戶必須登入多層系統驗證才能看見他們個人的產品與購買清單。	Yes/True、No/False	是、否	單一客戶觀點
The customer can see their product holdings on one page but need to access individual pages to see individual product details.	客戶能在整合頁面上看見他們的產品清單，但是必須進入各自的頁面才能看見每項的產品細節。	Yes/True、No/False	是、否	單一客戶觀點
The single customer view online provides the customer with a seamless experience, look and feel.	線上單一客戶觀點提供客戶流暢的視覺、感官體驗。	Yes/True、No/False	是、否	單一客戶觀點
The customer is presented with personalised marketing and service messages when accessing single customer view.	當客戶連結到單一客戶觀點時，將接觸到個人化的行銷與服務訊息。	Yes/True、No/False	是、否	單一客戶觀點
The customer is offered personalised pricing when being cross-sold to, based on their behaviour or transaction history.	依據客戶的行為或是交易紀錄，在交叉銷售時提供個人化的定價。	Yes/True、No/False	是、否	單一客戶觀點
The customer is presented with relevant product offerings based on their behaviour or transaction history.	依據客戶的行為或是交易紀錄提供相關產品。	Yes/True、No/False	是、否	單一客戶觀點
The customer is presented with alerts or early warning messages about their purchases to help them manage their finances.	使用提醒或是預警的訊息通知客戶購物情況，以幫助管理財務狀況。	Yes/True、No/False	是、否	單一客戶觀點
Customer service agents will have access to the same single customer view, seeing the complete product holding and history.	客服人員能獲得相同的單一客戶觀點資訊，看到完整的產品清單與交易紀錄。	Yes/True、No/False	是、否	單一客戶觀點
All customer interactions and transactions are visible to the customer in real time via the single customer view.	經由單一客戶觀點進行的所有客戶互動與交易都是可見和即時的。	Yes/True、No/False	是、否	單一客戶觀點
