subject-English	題目-Chinese	Answer-English	答案-Chinese	構面
There is a high level of business awareness of digital risk management.	公司對數位化風險管理高度敏感。	Yes/True、No/False	是、否	風險管理
There is a digital risk management escalation process in place.	公司已設置數位化風險管理升級流程。	Yes/True、No/False	是、否	風險管理
There is a dedicated digital risk management budget in place.	公司已設置數位化風險管理專用預算。	Yes/True、No/False	是、否	風險管理
There is a digital risk management training programme for employees.	公司已為員工設計數位化風險管理訓練課程。	Yes/True、No/False	是、否	風險管理
There is no digital risk management team within the business.	公司內部缺乏數位化風險管理團隊。	Yes/True、No/False	是、否	風險管理
There are tools in operation to monitor negative sentiment online.	公司具備監測線上負面情緒的工具。	Yes/True、No/False	是、否	風險管理
Employees understand standards and their application in terms of digital risk management.	公司員工明瞭數位化風險管理的標準與應用方式。	Yes/True、No/False	是、否	風險管理
There is no specific digital risk management framework or equivalent in place.	公司缺乏具體的數位化風險管理架構或同等內容。	Yes/True、No/False	是、否	風險管理
The leadership team have a strong understanding of digital risk management.	公司領導團隊對數位化風險管理有深入了解。	Yes/True、No/False	是、否	風險管理
The organisation does not make use of the Cyber Security Information Sharing Partnership (CISP) platform.	公司不使用網路安全資訊分享合作夥伴關係（CISP）平台。	Yes/True、No/False	是、否	使用及授權管理
There are clear SLAs in place and these are monitored for compliance as a standard.	公司具備明確的委外服務協議(SLA)，並以此為標準來進行監管。	Yes/True、No/False	是、否	使用及授權管理
There are processes in place to detect inappropriate use of administrative access.	公司對於管理者權限的不當使用，有訂定偵測程序控管。	Yes/True、No/False	是、否	使用及授權管理
Sensitive identity and credential information is held centrally.	公司集中管理敏感的個資與憑證資訊。 	Yes/True、No/False	是、否	使用及授權管理
There is a centralised, automated access review process in place to eliminate redundancy.	系統權限覆核係採統一與自動化流程進行，以避免工作重複。	Yes/True、No/False	是、否	使用及授權管理
"There is one ""executive"" level programme owner to take complete accountability and is empowered to make decisions."	由具「執行長」層級的主管擔任數位化計畫負責人，該主管享有制定決策的權力。	Yes/True、No/False	是、否	使用及授權管理
Access and Authentication management is managed in an ad hoc way- there is no dedicated management team.	數位化權限和身份驗證的管理模式係隨意辦理，未指定專門的管理團隊負責。 	Yes/True、No/False	是、否	使用及授權管理
Access Control processes are clearly documented.	權限管控流程有明確的書面紀錄。 	Yes/True、No/False	是、否	使用及授權管理
Periodic testing is undertaken to validate that processes are being followed.	公司定期執行測試，以確認管控流程被確實遵守。	Yes/True、No/False	是、否	使用及授權管理
Contingency plans are in place in the event of a crisis occurring.	當意外事故發生時有緊急應變計畫加以因應。 	Yes/True、No/False	是、否	緊急危機管理
Crisis preparedness audits are undertaken on a regular basis.	公司對於緊急應變計畫定期執行查核。	Yes/True、No/False	是、否	緊急危機管理
Information about the incident is immediately dispersed through automated channels.	意外事故相關的資訊會透過自動化管道及時傳遞出去。	Yes/True、No/False	是、否	緊急危機管理
Exercises and messaging workshops are undertaken to ensure the business is best prepared for a crisis.	公司固定舉辦演習或討論會，確保內部做好危機處理的完善準備。 	Yes/True、No/False	是、否	緊急危機管理
"The organisation has a ""dark"" site that has critical emergency messaging that can go live once the incident occurs."	公司組織存在一「隱藏版」內部網站儲存重要應變資訊，可於緊急事故發生時立即啟用。	Yes/True、No/False	是、否	緊急危機管理
The organisation has developed a crisis toolkit to ensure the business is best prepared.	公司組織已經建置緊急應變方案，確保其營運能維持良好應變狀態。 	Yes/True、No/False	是、否	緊急危機管理
There is a dedicated crisis programme team in place to manage the incident.	公司設立專門的危機處理小組，進行意外事件的應變管理。 	Yes/True、No/False	是、否	緊急危機管理
There is a clear decision tree in place across all scenarios to ensure quick reaction to the incident.	公司在不同狀況下均訂有明確的決策流程，以確保能快速應變意外事件。 	Yes/True、No/False	是、否	緊急危機管理
Learnings from incidents are not used to drive future contingency or crisis planning.	公司未依過往的危機處理經驗規劃未來的應變計畫。	Yes/True、No/False	是、否	緊急危機管理
There is a command centre in place to allow teams to work collaboratively and to share information easily.	公司設置集中的共享平台，讓團隊協同工作並快速地共享資訊。 	Yes/True、No/False	是、否	隱私管理
There are defined and robust data policies in place.	公司具有明確和健全的資訊政策。 	Yes/True、No/False	是、否	隱私管理
Employees have contractual conditions in place to ensure data is protected.	公司員工均已簽署同意書確認維護資訊安全。	Yes/True、No/False	是、否	隱私管理
There is a clear policy for network access using personal devices.	公司針對個人裝置的網絡使用權限訂有明確政策。 	Yes/True、No/False	是、否	隱私管理
Plans are in place to ensure compliance across key data security directives.	公司對於保護數據的重要安全指令，有訂定計畫管理。	Yes/True、No/False	是、否	隱私管理
Tactical technical controls are used to protect data e.g. removable media or port/device control.	公司使用靈活的科技裝置保護資料，例如：一次性使用的媒體或控制裝置。	Yes/True、No/False	是、否	隱私管理
Data security is a strategic initiative across the enterprise.	維護資訊安全是公司的重要策略。	Yes/True、No/False	是、否	隱私管理
There are dedicated resources to manage data security policies.	公司內部設有因應資料安全的專責單位。	Yes/True、No/False	是、否	隱私管理
There is a strategic ongoing plan to ensure compliance with key regulations.	為確保資安法規的遵循，公司設有一套持續性策略規劃。	Yes/True、No/False	是、否	風險管理
