subject-English	題目-Chinese	Answer-English	答案-Chinese	構面
The organisation connects the front office interaction with the back office execution in a seamless manner.	公司前、後台互動作業是緊密連結的。	Yes/True、No/False	是、否	內容策略
There is a clear content plan with clear objectives for your audience.	公司已針對其閱聽對象設計目標明確且內容清晰的計畫。	Yes/True、No/False	是、否	內容策略
Brand content is proactively promoted on external platforms.	公司已在外部平台積極推動品牌內容。	Yes/True、No/False	是、否	內容策略
There is a structured process to evaluate user generated content on owned platforms.	公司已在自有平台建置結構化的流程，以評估用戶的原創內容。	Yes/True、No/False	是、否	內容策略
Search Engine research is used to help create the right content across your digital channels.	公司將搜尋引擎研究結果運用在增進數位化通路的正確內容。	Yes/True、No/False	是、否	內容策略
Digital marketing can be accessed across all devices.	消費者能在所有的裝置上體驗數位化行銷。	Yes/True、No/False	是、否	數位化行銷
Gamification is used to immerse/reward/encourage or entertain your customer in your brand.	公司使用遊戲化的設計激勵客戶使用其服務，並增加品牌忠誠度。	Yes/True、No/False	是、否	數位化行銷
Digital marketing content is personalised and targeted to the individual.	公司數位化行銷內容針對個人，並主打個人化設計。	Yes/True、No/False	是、否	數位化行銷
"Targeted digital marketing is pushed to your customers when ""on the go""."	能「隨時隨地」對消費者進行數位化行銷。	Yes/True、No/False	是、否	數位化行銷
Processes are in place to enable experimentation with digital marketing strategies quickly and easily.	公司已制定能快速檢驗數位化行銷績效的相關程序。	Yes/True、No/False	是、否	數位化行銷
Integrated digital marketing is delivered across multiple touch points with a unified message.	公司已整合數位化行銷，於各接觸點傳遞一致的訊息。	Yes/True、No/False	是、否	數位化行銷
Customers are communicated with using online video content.	公司透過線上影片內容與消費者互動。	Yes/True、No/False	是、否	數位化行銷
Customers are encouraged and enabled to collaborate with your brand by providing customer ratings, reviews and recommendations.	鼓勵消費者透過評分、評論以及推薦，協助推廣公司品牌。	Yes/True、No/False	是、否	數位化行銷
Offline marketing is integrated with digital marketing.	將實體行銷與數位化行銷整合為一體。	Yes/True、No/False	是、否	數位化行銷
"Banner advertising and "" pop-ups"" are used as the main form of digital marketing."	將橫幅廣告和“彈出式窗口”作為數位化行銷的主要形式。	Yes/True、No/False	是、否	數位化行銷
Your brand requires customers to proactively search for product information.	公司品牌需消費者主動搜尋產品訊息才能得知。	Yes/True、No/False	是、否	數位化行銷
There is a focus on user generated content.	注重用戶原創內容。	Yes/True、No/False	是、否	內容策略
